Link,Original Source,Inflow_link,Node,SV,DV,Modification,Inflow Note,SR,S,Wet,Dry
SOURCE_C2,CALSIM - I10802,INFLOW_C2,C2,['I10802'],[],CSII,Cottonwood Creek,-,[],2,2
SOURCE_D75,CALSIM - I11307+8+9,INFLOW_D75,D75,"['I11307','I11308','I11309']",[],CSII,Antelope/Mill/Deer Creek,-,[],,
SOURCE_D76B,CALSIM - I11501,INFLOW_D76b,D76b,['I11501'],[],CSII,Stony Creek (Big Chico Creek),-,[],,
SOURCE_SR-CLE,CALSIM - I1,INFLOW_SR_CLE,SR_CLE,['I1'],[],CSII,Trinity to Clair Engle,SR_CLE,['S1'],3,4
SOURCE_SR-WHI,CALSIM - I3,INFLOW_SR_WHI,SR_WHI,['I3'],[],CSII,Clear Creek,SR_WHI,['S3'],2,2
SOURCE_SR-SHA,CALSIM - I4,INFLOW_SR_SHA,SR_SHA,['I4'],[],CSII,Sacramento,SR_SHA,['S4'],2,2
SOURCE_SR-BLB,CALSIM - I40+I41+I42,INFLOW_SR_BLB,SR_BLB,"['I40','I41','I42']",[],CSII,East Park Reservoir Inflow / Stony Creek Inflow to Stony Gorge Reservoir / Stony Creek Inflow to Black Butte Lake,SR_BLB,['S42'],4,4
SOURCE_C87,CALSIM - I11001,INFLOW_C87,C87,['I11001'],[],CSII,Paynes Creek,-,[],,
SOURCE_C86,CALSIM - I11303+304,INFLOW_C86,C86,"['I11303','I11304']",[],CSII,Thomas / Elder Creek,-,[],,
SOURCE_D77,CALSIM - I112,INFLOW_D77,D77,['I112'],[],CSII,Red Bank Creek,-,[],,
SOURCE_D94,CALSIM - I100,INFLOW_D94,D94,['I100'],[],CSII,Lewiston Lake Inflow,-,[],3,4
SOURCE_D74,CALSIM - I10801+803,INFLOW_D74,D74,"['I10801','I10803']",[],CSII,Cow / Battle Creeks,-,[],,
SOURCE_C38,REG-CALSIM - I501,INFLOW_C38,C38,[],[],as-is,Dry Creek -> Cosumnes/Mokelumne,-,[],4,1
SOURCE_C77,CALSIM - I6,INFLOW_C77,C77,['I6'],[],CSII,Feather,SR_ORO,['S6'],3,3
SOURCE_SR-NHG,CALSIM - I92,INFLOW_SR_NHG,SR_NHG,['I92'],[],CSII,Calaveras,SR_NHG,['S92'],4,1
SOURCE_C37,CALSIM - I501,INFLOW_C37,C37,[],[],as-is,Cosumnes (I501),-,[],,
SOURCE_C23,CALSIM - I200,INFLOW_C23,C23,[],[],as-is,Kelly Ridge,SR_TAB,[],1,1
SOURCE_SR-CLK-INV,DWR STUDY,INFLOW_SR_CLK_INV,SR_CLK_INV,[],[],as-is,Cache Creek,SR_CLK_INV,[],4,1
SOURCE_SR-BER,DWR STUDY,INFLOW_SR_BER,SR_BER,[],[],as-is,Putah Creek,SR_BER,[],1,1
SOURCE_SR-RLL-CMB,CALSIM - I291+I293,INFLOW_SR_RLL_CMB,SR_RLL_CMB,[],[],as-is,Bear River and Yuba Exports,SR_RLL_CMB,[],4,4
SOURCE_SR-PAR,CDEC - MKM,INFLOW_SR_PAR,SR_PAR,[],[],as-is,Mokelumne,SR_PAR,[],6,2
SOURCE_SR-BUL,REG-CDEC - YRS,INFLOW_SR_BUL,SR_BUL,[],[],as-is,N&M Yuba,SR_BUL,[],3,4
SOURCE_C27,REG-CDEC - YRS,INFLOW_C27,C27,[],[],as-is,S Yuba,SR_ENG,[],4,4
SOURCE_D17,REG-CDEC - AMF,INFLOW_D17,D17,[],['C300'],CSII,N&M American (Auburn release after PCWA diversion),SR_FOL,['S8'],3,2
SOURCE_SR-FOL,REG-CDEC - AMF,INFLOW_SR_FOL,SR_FOL,['I8'],[],CSII,S American,SR_FOL,[],3,2
SOURCE_C28,REG-USGS - 11418500,INFLOW_C28,C28,[],[],as-is,Deer Creek -> Yuba,-,[],1,1
SOURCE_C29,REG-USGS - 11418500,INFLOW_C29,C29,[],[],as-is,Dry Creek -> Yuba,-,[],4,4
SOURCE_D43A,CALSIM - I217,INFLOW_D43a,D43a,['I217'],[],CSII,Butte Creek,-,[],,
SOURCE_SR-NML,CALSIM - I10,INFLOW_SR_NML,SR_NML,['I10'],[],CSII,Stanislaus,SR_NML,['S10'],6,6
SOURCE_SR-MIL,CALSIM - I18,INFLOW_SR_MIL,SR_MIL,['I18'],[],CSII,San Joaquin,SR_MIL,['S18'],6,6
SOURCE_SR-MCR,CALSIM - I20,INFLOW_SR_MCR,SR_MCR,['I20'],[],CSII,Merced,SR_MCR,['S20'],6,6
SOURCE_SR-HID,CALSIM - I52,INFLOW_SR_HID,SR_HID,['I52'],[],CSII,Fresno,SR_HID,['S52'],2,3
SOURCE_SR-BUC,CALSIM - I53,INFLOW_SR_BUC,SR_BUC,['I53'],[],CSII,Chowchilla,SR_BUC,['S53'],4,1
SOURCE_SR-DNP,FERC TUOLUMNE,INFLOW_SR_DNP,SR_DNP,[],[],CSII/as-is,Regression to i81,SR_DNP,['S81'],2,4
SOURCE_SR-HTH,FERC TUOLUMNE,INFLOW_SR_HTH,SR_HTH,[],[],CSII/as-is,Regression to i81,SR_HTH,[],5,5
SOURCE_SR-LL-ENR,FERC TUOLUMNE,INFLOW_SR_LL_ENR,SR_LL_ENR,[],[],CSII/as-is,Regression to i81,SR_LL_ENR,[],6,6
SOURCE_SR-SCAGG,SCV INFLOW,INFLOW_SR_SCAGG,SR_SCAGG,[],[],as-is,Santa Clara,SR_SCAGG,[],1,1
SOURCE_SR-TRM,CDEC - KWT,INFLOW_SR_TRM,SR_TRM,[],[],as-is,Kaweah,SR_TRM,[],6,6
SOURCE_SR-PNF,CDEC - KWF,INFLOW_SR_PNF,SR_PNF,[],[],as-is,Kings,SR_PNF,[],6,6
SOURCE_SR-SCC,EXT-CDEC - SCC,INFLOW_SR_SCC,SR_SCC,[],[],as-is,Tule,SR_SCC,[],4,4
SOURCE_SR-ISB,CDEC - KRI,INFLOW_SR_ISB,SR_ISB,[],[],as-is,Kern,SR_ISB,[],6,6
SOURCE_SR-CRW,CDEC - OWL,INFLOW_SR_CRW,SR_CRW,[],[],as-is,Owens,SR_CRW,[],6,2
SOURCE_C146,WHITEWATER,INFLOW_C146,C146,[],[],as-is,No flow,-,[],6,2
SOURCE_C148,NEW & ALAMO RIVER,INFLOW_C148,C148,[],[],as-is,No flow,-,[],6,2
SOURCE_SR-GNT,REG-CDEC - WWR,INFLOW_SR_GNT,SR_GNT,[],[],as-is,Mono Basin,SR_GNT,[],5,6
SOURCE_C116,REG-CDEC - OWL,INFLOW_C116,C116,[],[],as-is,LV-HAIWEE,-,[],6,6
SOURCE_SR-SNL,-,-,-,[],[],-,San Luis,SR_SNL,['S12'],,
