r,param,value
GW_01,p,-100.0
GW_02,p,-100.0
GW_05,p,-100.0
GW_08,p,-100.0
GW_10,p,-100.0
GW_11,p,-100.0
GW_12,p,-100.0
GW_13,p,-100.0
GW_16,p,-100.0
GW_17,p,-100.0
GW_18,p,-100.0
GW_20,p,-100.0
GW_21,p,-100.0
GW_AV,p,-100.0
GW_CH,p,-100.0
GW_EW,p,-100.0
GW_MJ,p,-100.0
GW_MWD,p,-100.0
GW_OW,p,-100.0
GW_SBV,p,-100.0
GW_SC,p,-100.0
GW_SD,p,-100.0
GW_VC,p,-100.0
SR_BER,pmin,-100.0
SR_BER,pmax,-700.0
SR_BUC,pmin,-100.0
SR_BUC,pmax,-700.0
SR_BUL,pmin,-100.0
SR_BUL,pmax,-700.0
SR_CLE,pmin,-100.0
SR_CLE,pmax,-700.0
SR_CLK_INV,pmin,-100.0
SR_CLK_INV,pmax,-700.0
SR_CMN,pmin,-100.0
SR_CMN,pmax,-700.0
SR_DNP,pmin,-100.0
SR_DNP,pmax,-700.0
SR_EBMUD,pmin,-100.0
SR_EBMUD,pmax,-700.0
SR_FOL,pmin,-100.0
SR_FOL,pmax,-700.0
SR_GNT,pmin,-100.0
SR_GNT,pmax,-700.0
SR_HTH,pmin,-100.0
SR_HTH,pmax,-700.0
SR_ISB,pmin,-100.0
SR_ISB,pmax,-700.0
SR_LL_ENR,pmin,-100.0
SR_LL_ENR,pmax,-700.0
SR_LVQ,pmin,-100.0
SR_LVQ,pmax,-700.0
SR_MCR,pmin,-100.0
SR_MCR,pmax,-700.0
SR_MIL,pmin,-100.0
SR_MIL,pmax,-700.0
SR_NHG,pmin,-100.0
SR_NHG,pmax,-700.0
SR_NML,pmin,-100.0
SR_NML,pmax,-700.0
SR_ORO,pmin,-100.0
SR_ORO,pmax,-700.0
SR_PAR,pmin,-100.0
SR_PAR,pmax,-700.0
SR_PNF,pmin,-100.0
SR_PNF,pmax,-700.0
SR_RLL_CMB,pmin,-100.0
SR_RLL_CMB,pmax,-700.0
SR_SFAGG,pmin,-100.0
SR_SFAGG,pmax,-700.0
SR_SHA,pmin,-100.0
SR_SHA,pmax,-700.0
SR_SNL,pmin,-100.0
SR_SNL,pmax,-700.0
SR_WHI,pmin,-100.0
SR_WHI,pmax,-700.0
