date,j,flow_taf
10/31/1921,C106,3.24
11/30/1921,C106,2.617
12/31/1921,C106,2.431
1/31/1922,C106,2.161
2/28/1922,C106,2.338
3/31/1922,C106,2.291
4/30/1922,C106,2.922
5/31/1922,C106,3.278
6/30/1922,C106,3.797
7/31/1922,C106,3.858
8/31/1922,C106,4.014
9/30/1922,C106,3.603
10/31/1922,C106,3.24
11/30/1922,C106,2.617
12/31/1922,C106,2.431
1/31/1923,C106,2.161
2/28/1923,C106,2.338
3/31/1923,C106,2.291
4/30/1923,C106,2.922
5/31/1923,C106,3.278
6/30/1923,C106,3.797
7/31/1923,C106,3.858
8/31/1923,C106,4.014
9/30/1923,C106,3.603
10/31/1923,C106,3.24
11/30/1923,C106,2.617
12/31/1923,C106,2.431
1/31/1924,C106,2.161
2/29/1924,C106,2.338
3/31/1924,C106,2.291
4/30/1924,C106,2.922
5/31/1924,C106,3.278
6/30/1924,C106,3.797
7/31/1924,C106,3.858
8/31/1924,C106,4.014
9/30/1924,C106,3.603
10/31/1924,C106,3.24
11/30/1924,C106,2.617
12/31/1924,C106,2.431
1/31/1925,C106,2.161
2/28/1925,C106,2.338
3/31/1925,C106,2.291
4/30/1925,C106,2.922
5/31/1925,C106,3.278
6/30/1925,C106,3.797
7/31/1925,C106,3.858
8/31/1925,C106,4.014
9/30/1925,C106,3.603
10/31/1925,C106,3.24
11/30/1925,C106,2.617
12/31/1925,C106,2.431
1/31/1926,C106,2.161
2/28/1926,C106,2.338
3/31/1926,C106,2.291
4/30/1926,C106,2.922
5/31/1926,C106,3.278
6/30/1926,C106,3.797
7/31/1926,C106,3.858
8/31/1926,C106,4.014
9/30/1926,C106,3.603
10/31/1926,C106,3.24
11/30/1926,C106,2.617
12/31/1926,C106,2.431
1/31/1927,C106,2.161
2/28/1927,C106,2.338
3/31/1927,C106,2.291
4/30/1927,C106,2.922
5/31/1927,C106,3.278
6/30/1927,C106,3.797
7/31/1927,C106,3.858
8/31/1927,C106,4.014
9/30/1927,C106,3.603
10/31/1927,C106,3.24
